alpha,sat_fraction,sat_count,total_trials
1.00,1.0000,100,100
1.25,1.0000,100,100
1.50,1.0000,100,100
1.75,1.0000,100,100
2.00,1.0000,100,100
2.25,1.0000,100,100
2.50,1.0000,100,100
2.75,1.0000,100,100
3.00,1.0000,100,100
3.25,1.0000,100,100
3.50,1.0000,100,100
3.75,1.0000,100,100
4.00,0.8800,88,100
4.25,0.5000,50,100
4.50,0.1700,17,100
4.75,0.0100,1,100
5.00,0.0000,0,100
5.25,0.0000,0,100
5.50,0.0000,0,100
5.75,0.0000,0,100
6.00,0.0000,0,100
6.25,0.0000,0,100
6.50,0.0000,0,100
6.75,0.0000,0,100
7.00,0.0000,0,100
7.25,0.0000,0,100
7.50,0.0000,0,100
7.75,0.0000,0,100
8.00,0.0000,0,100
